Dataset,Algorithm,Grid Size,Total Placements,Residential,Utility,Score,Time (s),Peak Memory (MB),Parameters
b_short_walk,genetic_algorithm,1000x1000,103838,20876,82962,1804262,222.1784,15436.0219,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=3085, top_k_res=45, destroy_repair_rate=0.4, crossover_type=clustered, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,104067,21014,83053,1809450,1236.3580,15878.1395,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=3185, top_k_res=45, destroy_repair_rate=0.4, crossover_type=clustered, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,103838,20876,82962,1804262,229.4428,15436.0144,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=3285, top_k_res=45, destroy_repair_rate=0.4, crossover_type=clustered, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,104212,21084,83128,1813381,2222.2595,16337.6583,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=3385, top_k_res=45, destroy_repair_rate=0.4, crossover_type=clustered, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,104212,21084,83128,1813381,2145.9396,16337.6585,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=3485, top_k_res=45, destroy_repair_rate=0.4, crossover_type=clustered, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,104359,21200,83159,1815293,2090.6713,10221.8096,"population_size=24, generations=110, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.36, max_runtime_s=2000, seed=2777, top_k_res=35, destroy_repair_rate=0.5, crossover_type=spatial, min_population_size=18, max_population_size=40, stagnation_generations=7, population_growth_step=6, population_shrink_step=3"
b_short_walk,genetic_algorithm,1000x1000,104310,21170,83140,1814290,2001.3761,10221.8101,"population_size=24, generations=110, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.36, max_runtime_s=2000, seed=2877, top_k_res=35, destroy_repair_rate=0.5, crossover_type=spatial, min_population_size=18, max_population_size=40, stagnation_generations=7, population_growth_step=6, population_shrink_step=3"
b_short_walk,genetic_algorithm,1000x1000,104310,21170,83140,1814290,2023.9323,10221.8096,"population_size=24, generations=110, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.36, max_runtime_s=2000, seed=2977, top_k_res=35, destroy_repair_rate=0.5, crossover_type=spatial, min_population_size=18, max_population_size=40, stagnation_generations=7, population_growth_step=6, population_shrink_step=3"
b_short_walk,genetic_algorithm,1000x1000,104310,21170,83140,1814290,2034.7691,10221.8096,"population_size=24, generations=110, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.36, max_runtime_s=2000, seed=3077, top_k_res=35, destroy_repair_rate=0.5, crossover_type=spatial, min_population_size=18, max_population_size=40, stagnation_generations=7, population_growth_step=6, population_shrink_step=3"
b_short_walk,genetic_algorithm,1000x1000,104310,21170,83140,1814290,2062.1580,10221.8096,"population_size=24, generations=110, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.36, max_runtime_s=2000, seed=3177, top_k_res=35, destroy_repair_rate=0.5, crossover_type=spatial, min_population_size=18, max_population_size=40, stagnation_generations=7, population_growth_step=6, population_shrink_step=3"
